Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Pré-selecionada pelo Gestor da Aplicação;3620.24.1807/2018;Qualificação Viária;PI;Canto do Buriti;Caixa Econômica Federal;Prefeitura Municipal de Canto do Buriti;Qualificação Viária do Prefeitura Municipal de Canto do Buriti;R$ 400.000,00;R$ 7.600.000,00;R$ 8.000.000,00
Pré-selecionada pelo Gestor da Aplicação;3505.2.1806/2018;Qualificação Viária;SC;Planalto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Planalto Alegre;Qualificação Viária do Prefeitura Municipal de Planalto Alegre;R$ 143.000,00;R$ 2.717.000,00;R$ 2.860.000,00
Não enquadrada pelo Agente Financeiro;698.24.2909/2017;Qualificação Viária;RJ;Três Rios;Caixa Econômica Federal;Prefeitura Municipal de Três Rios;Qualificação Viária do Prefeitura Municipal de Três Rios;R$ 270.500,00;R$ 5.108.960,00;R$ 5.379.460,00
Pré-selecionada pelo Gestor da Aplicação;3567.24.0307/2018;Qualificação Viária;PI;Miguel Leão;Caixa Econômica Federal;Prefeitura Municipal de Miguel Leão;Qualificação Viária do Prefeitura Municipal de Miguel Leão;R$ 184.246,04;R$ 3.500.674,75;R$ 3.684.920,79
Em análise de enquadramento;1329.2.1812/2017;Qualificação Viária;RS;Gramado;Caixa Econômica Federal;Prefeitura Municipal de Gramado;Qualificação Viária do Prefeitura Municipal de Gramado;R$ 744.251,95;R$ 14.140.787,02;R$ 14.885.038,97
Pré-selecionada pelo Gestor da Aplicação;1314.2.1512/2017;Qualificação Viária;MG;Catuti;Caixa Econômica Federal;Prefeitura Municipal de Catuti;Qualificação Viária do Prefeitura Municipal de Catuti;R$ 26.500,00;R$ 503.500,00;R$ 530.000,00
Devolvida ao Proponente;499.34.1209/2017;Transporte Não Motorizado;SE;Santa Rosa de Lima;Caixa Econômica Federal;Prefeitura Municipal de Santa Rosa de Lima;Transporte Não Motorizado do Prefeitura Municipal de Santa Rosa de Lima;R$ 42.566,33;R$ 808.760,20;R$ 851.326,53
Pré-selecionada pelo Gestor da Aplicação;1282.24.1212/2017;Qualificação Viária;SP;Presidente Venceslau;Caixa Econômica Federal;Prefeitura Municipal de Presidente Venceslau;Qualificação Viária do Prefeitura Municipal de Presidente Venceslau;R$ 248.020,00;R$ 4.712.380,00;R$ 4.960.400,00
Pré-selecionada pelo Gestor da Aplicação;396.2.2908/2017;Qualificação Viária;SC;São Francisco do Sul;Caixa Econômica Federal;Prefeitura Municipal de São Francisco do Sul;Qualificação Viária do Prefeitura Municipal de São Francisco do Sul;R$ 789.258,14;R$ 14.995.904,54;R$ 15.785.162,68
Em análise de enquadramento;654.2.2709/2017;Qualificação Viária;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de Santa Bárbara d'Oeste;Qualificação Viária do Prefeitura Municipal de Santa Bárbara d'Oeste;R$ 222.500,00;R$ 4.227.500,00;R$ 4.450.000,00
Pré-selecionada pelo Gestor da Aplicação;177.2.2108/2017;Qualificação Viária;RJ;Casimiro de Abreu;Caixa Econômica Federal;Prefeitura Municipal de Casimiro de Abreu;Qualificação Viária do Prefeitura Municipal de Casimiro de Abreu;R$ 790.067,87;R$ 15.000.000,00;R$ 15.790.067,87
Em análise de enquadramento;1376.25.2112/2017;Qualificação Viária;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Qualificação Viária do MUNICIPIO DE HORTOLANDIA;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Pré-selecionada pelo Gestor da Aplicação;2967.24.1206/2018;Qualificação Viária;PI;Simplício Mendes;Caixa Econômica Federal;Prefeitura Municipal de Simplício Mendes;Qualificação Viária do Prefeitura Municipal de Simplício Mendes;R$ 251.000,00;R$ 4.749.000,00;R$ 5.000.000,00
Em análise de enquadramento;1307.2.1412/2017;Qualificação Viária;RS;Gramado;Caixa Econômica Federal;Prefeitura Municipal de Gramado;Qualificação Viária do Prefeitura Municipal de Gramado;R$ 747.814,21;R$ 14.208.469,92;R$ 14.956.284,13
Pré-selecionada pelo Gestor da Aplicação;1482.3.0401/2018;Transporte Não Motorizado;RS;Passo Fundo;Caixa Econômica Federal;Prefeitura Municipal de Passo Fundo;Transporte Não Motorizado do Prefeitura Municipal de Passo Fundo;R$ 134.329,48;R$ 2.552.259,98;R$ 2.686.589,46
Em análise de enquadramento;644.2.2609/2017;Qualificação Viária;PR;Tuneiras do Oeste;Caixa Econômica Federal;Prefeitura Municipal de Tuneiras do Oeste;Qualificação Viária do Prefeitura Municipal de Tuneiras do Oeste;R$ 140.946,40;R$ 2.677.981,60;R$ 2.818.928,00
Selecionada pelo gestor da aplicação;1493.2.0501/2018;Qualificação Viária;RS;Passo Fundo;Caixa Econômica Federal;Prefeitura Municipal de Passo Fundo;Qualificação Viária do Prefeitura Municipal de Passo Fundo;R$ 80.000,00;R$ 1.520.000,00;R$ 1.600.000,00
Não enquadrada pelo Agente Financeiro;1022.24.0911/2017;Qualificação Viária;SP;Serra Negra;Caixa Econômica Federal;Prefeitura Municipal de Serra Negra;Qualificação Viária do Prefeitura Municipal de Serra Negra;R$ 249.709,00;R$ 4.744.471,00;R$ 4.994.180,00
Em análise de enquadramento;1416.2.2612/2017;Qualificação Viária;CE;Tianguá;Caixa Econômica Federal;Prefeitura Municipal de Tianguá;Qualificação Viária do Prefeitura Municipal de Tianguá;R$ 383.461,05;R$ 7.285.759,78;R$ 7.669.220,83
Pré-selecionada pelo Gestor da Aplicação;1537.2.1201/2018;Qualificação Viária;RS;General Câmara;Caixa Econômica Federal;Prefeitura Municipal de General Câmara;Qualificação Viária do Prefeitura Municipal de General Câmara;R$ 300.000,00;R$ 5.000.000,00;R$ 5.300.000,00
Em análise de enquadramento;1252.24.0812/2017;Qualificação Viária;RS;Triunfo;Caixa Econômica Federal;Prefeitura Municipal de Triunfo;Qualificação Viária do Prefeitura Municipal de Triunfo;R$ 750.000,00;R$ 14.240.173,45;R$ 14.990.173,45
Devolvida ao Proponente;1309.2.1512/2017;Qualificação Viária;RS;Ilópolis;Caixa Econômica Federal;Prefeitura Municipal de Ilópolis;Qualificação Viária do Prefeitura Municipal de Ilópolis;R$ 90.130,10;R$ 1.712.471,89;R$ 1.802.601,99
Em análise de enquadramento;1345.24.1912/2017;Qualificação Viária;BA;Mirangaba;Caixa Econômica Federal;Prefeitura Municipal de Mirangaba;Qualificação Viária do Prefeitura Municipal de Mirangaba;R$ 51.000,00;R$ 969.000,00;R$ 1.020.000,00
Pré-selecionada pelo Gestor da Aplicação;1484.2.0401/2018;Qualificação Viária;RS;Gentil;Caixa Econômica Federal;Prefeitura Municipal de Gentil;Qualificação Viária do Prefeitura Municipal de Gentil;R$ 237.742,91;R$ 4.517.115,09;R$ 4.754.858,00
Em análise de enquadramento;1048.2.1311/2017;Qualificação Viária;PR;São Jorge d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de São Jorge d'Oeste;Qualificação Viária do Prefeitura Municipal de São Jorge d'Oeste;R$ 242.742,14;R$ 4.612.100,62;R$ 4.854.842,76
Pré-selecionada pelo Gestor da Aplicação;2416.24.1311/2018;Qualificação Viária;SP;Cássia dos Coqueiros;Caixa Econômica Federal;Prefeitura Municipal de Cássia dos Coqueiros;Qualificação Viária do Prefeitura Municipal de Cássia dos Coqueiros;R$ 205.238,85;R$ 3.899.538,15;R$ 4.104.777,00
Pré-selecionada pelo Gestor da Aplicação;3438.2.0606/2018;Qualificação Viária;PI;Betânia do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Betânia do Piauí;Qualificação Viária do Prefeitura Municipal de Betânia do Piauí;R$ 50.000,00;R$ 950.000,00;R$ 1.000.000,00
Pré-selecionada pelo Gestor da Aplicação;888.2.2410/2017;Qualificação Viária;RS;Tapera;Caixa Econômica Federal;Prefeitura Municipal de Tapera;Qualificação Viária do Prefeitura Municipal de Tapera;R$ 216.000,00;R$ 4.104.000,00;R$ 4.320.000,00
Pré-selecionada pelo Gestor da Aplicação;3440.24.0606/2018;Qualificação Viária;PI;Santa Cruz dos Milagres;Caixa Econômica Federal;Prefeitura Municipal de Santa Cruz dos Milagres;Qualificação Viária do Prefeitura Municipal de Santa Cruz dos Milagres;R$ 122.138,64;R$ 2.320.634,06;R$ 2.442.772,70
Pré-selecionada pelo Gestor da Aplicação;690.2.2809/2017;Qualificação Viária;SC;São João do Itaperiú;Caixa Econômica Federal;Prefeitura Municipal de São João do Itaperiú;Qualificação Viária do Prefeitura Municipal de São João do Itaperiú;R$ 250.000,00;R$ 4.749.999,99;R$ 4.999.999,99
Pré-selecionada pelo Gestor da Aplicação;687.2.2809/2017;Qualificação Viária;SC;Balneário Piçarras;Caixa Econômica Federal;Prefeitura Municipal de Balneário Piçarras;Qualificação Viária do Prefeitura Municipal de Balneário Piçarras;R$ 248.078,29;R$ 4.713.487,41;R$ 4.961.565,70
Em análise de enquadramento;2749.2.2505/2018;Qualificação Viária;PR;Guairaçá;Fomento Paraná;Prefeitura Municipal de Guairaçá;Qualificação Viária do Prefeitura Municipal de Guairaçá;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Não enquadrada pelo Agente Financeiro;856.2.1810/2017;Qualificação Viária;SC;São Joaquim;Caixa Econômica Federal;Prefeitura Municipal de São Joaquim;Qualificação Viária do Prefeitura Municipal de São Joaquim;R$ 718.500,00;R$ 13.651.500,00;R$ 14.370.000,00
Pré-selecionada pelo Gestor da Aplicação;497.2.1806/2018;Qualificação Viária;MT;Nova Monte Verde;Caixa Econômica Federal;Prefeitura Municipal de Nova Monte Verde;Qualificação Viária do Prefeitura Municipal de Nova Monte Verde;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1412.3.2612/2017;Transporte Não Motorizado;RS;Vila Lângaro;Caixa Econômica Federal;Prefeitura Municipal de Vila Lângaro;Transporte Não Motorizado do Prefeitura Municipal de Vila Lângaro;R$ 53.214,28;R$ 1.011.071,22;R$ 1.064.285,50
Pré-selecionada pelo Gestor da Aplicação;1553.2.1601/2018;Qualificação Viária;SC;Laguna;Caixa Econômica Federal;Prefeitura Municipal de Laguna;Qualificação Viária do Prefeitura Municipal de Laguna;R$ 430.000,00;R$ 8.083.345,80;R$ 8.513.345,80
Não enquadrada pelo Agente Financeiro;162.34.1808/2017;Transporte Não Motorizado;SP;Presidente Epitácio;Caixa Econômica Federal;Prefeitura Municipal de Presidente Epitácio;Transporte Não Motorizado do Prefeitura Municipal de Presidente Epitácio;R$ 120.000,00;R$ 2.280.000,00;R$ 2.400.000,00
Selecionada pelo gestor da aplicação;1505.2.0801/2018;Qualificação Viária;RS;Vale Verde;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Vale Verde;Qualificação Viária do Prefeitura Municipal de Vale Verde;R$ 208.840,73;R$ 3.967.973,81;R$ 4.176.814,54
Não enquadrada pelo Agente Financeiro;1512.2.0901/2018;Qualificação Viária;CE;Pacatuba;Caixa Econômica Federal;Prefeitura Municipal de Pacatuba;Qualificação Viária do Prefeitura Municipal de Pacatuba;R$ 365.075,85;R$ 6.936.441,10;R$ 7.301.516,95
Em análise de enquadramento;434.2.0109/2017;Qualificação Viária;RS;Agudo;Caixa Econômica Federal;Prefeitura Municipal de Agudo;Qualificação Viária do Prefeitura Municipal de Agudo;R$ 209.570,00;R$ 3.981.830,00;R$ 4.191.400,00
Em análise de enquadramento;741.2.0410/2017;Qualificação Viária;SC;Gaspar;Caixa Econômica Federal;Prefeitura Municipal de Gaspar;Qualificação Viária do Prefeitura Municipal de Gaspar;R$ 1.059.557,07;R$ 20.000.000,00;R$ 21.059.557,07
Pré-selecionada pelo Gestor da Aplicação;793.2.0910/2017;Qualificação Viária;MS;Maracaju;Caixa Econômica Federal;Prefeitura Municipal de Maracaju;Qualificação Viária do Prefeitura Municipal de Maracaju;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Em análise de enquadramento;1616.2.1913/2018;Qualificação Viária;BA;Morro do Chapéu;Caixa Econômica Federal;Prefeitura Municipal de Morro do Chapéu;Qualificação Viária do Prefeitura Municipal de Morro do Chapéu;R$ 370.000,00;R$ 7.030.000,00;R$ 7.400.000,00
Não enquadrada pelo Agente Financeiro;3441.24.0606/2018;Qualificação Viária;PI;Monsenhor Hipólito;Caixa Econômica Federal;Prefeitura Municipal de Monsenhor Hipólito;Qualificação Viária do Prefeitura Municipal de Monsenhor Hipólito;R$ 80.350,69;R$ 1.526.662,91;R$ 1.607.013,60
Pré-selecionada pelo Gestor da Aplicação;3188.24.0904/2018;Qualificação Viária;SP;Presidente Prudente;Caixa Econômica Federal;Município de Presidente Prudente;Qualificação Viária do Município de Presidente Prudente;R$ 670.000,00;R$ 12.641.000,00;R$ 13.311.000,00
Não enquadrada pelo Agente Financeiro;1600.3.2601/2018;Transporte Não Motorizado;PR;Campina da Lagoa;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Campina da Lagoa;Transporte Não Motorizado do Prefeitura Municipal de Campina da Lagoa;R$ 123.550,00;R$ 2.347.450,00;R$ 2.471.000,00
Pré-selecionada pelo Gestor da Aplicação;1441.24.2812/2017;Qualificação Viária;SP;Taquaritinga;Caixa Econômica Federal;Prefeitura Municipal de Taquaritinga;Qualificação Viária do Prefeitura Municipal de Taquaritinga;R$ 615.932,81;R$ 11.702.723,31;R$ 12.318.656,12
Selecionada pelo gestor da aplicação;753.2.0510/2017;Qualificação Viária;RS;Teutônia;Caixa Econômica Federal;Prefeitura Municipal de Teutônia;Qualificação Viária do Prefeitura Municipal de Teutônia;R$ 748.197,31;R$ 14.215.748,73;R$ 14.963.946,04
Em análise de enquadramento;3511.2.1806/2018;Qualificação Viária;PR;Cambará;Fomento Paraná;Prefeitura Municipal de Cambará;Qualificação Viária do Prefeitura Municipal de Cambará;R$ 57.500,00;R$ 1.092.500,00;R$ 1.150.000,00
Pré-selecionada pelo Gestor da Aplicação;3377.2.2905/2018;Qualificação Viária;RS;Dom Pedrito;Badesul Desenvolvimento S. A.;Prefeitura Municipal de Dom Pedrito;Qualificação Viária do Prefeitura Municipal de Dom Pedrito;R$ 499.999,57;R$ 9.499.991,65;R$ 9.999.991,22
Em análise de enquadramento;1618.2.2002/2018;Qualificação Viária;CE;Pedra Branca;Caixa Econômica Federal;Prefeitura Municipal de Pedra Branca;Qualificação Viária do Prefeitura Municipal de Pedra Branca;R$ 119.697,80;R$ 2.274.258,20;R$ 2.393.956,00
Selecionada pelo gestor da aplicação;24.4.0108/2017;Estudos e Projetos;SC;Concórdia;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Concórdia;Estudos e Projetos do Prefeitura Municipal de Concórdia;R$ 79.100,00;R$ 1.502.900,00;R$ 1.582.000,00
Selecionada pelo gestor da aplicação;812.2.1110/2017;Qualificação Viária;RS;Vale Real;Caixa Econômica Federal;MUNICÍPIO DE VALE REAL;Qualificação Viária do MUNICÍPIO DE VALE REAL;R$ 115.149,88;R$ 2.187.847,69;R$ 2.302.997,57
Devolvida ao Proponente;1626.2.2602/2018;Qualificação Viária;RS;Tucunduva;Caixa Econômica Federal;Prefeitura Municipal de Tucunduva;Qualificação Viária do Prefeitura Municipal de Tucunduva;R$ 87.500,00;R$ 1.563.356,05;R$ 1.650.856,05
Não enquadrada pelo Agente Financeiro;450.25.0409/2017;Qualificação Viária;SP;Araras;Caixa Econômica Federal;Prefeitura Municipal de Araras;Qualificação Viária do Prefeitura Municipal de Araras;R$ 534.500,00;R$ 10.155.500,00;R$ 10.690.000,00
Não enquadrada pelo Agente Financeiro;3142.24.1104/2018;Qualificação Viária;MG;Barão de Cocais;Banco de Desenvolvimento de Minas Gerais – BDMG;Prefeitura Municipal de Barão de Cocais;Qualificação Viária do Prefeitura Municipal de Barão de Cocais;R$ 749.402,71;R$ 14.131.478,73;R$ 14.880.881,44
Pré-selecionada pelo Gestor da Aplicação;833.2.1610/2017;Qualificação Viária;SC;Itá;Caixa Econômica Federal;Prefeitura Municipal de Itá;Qualificação Viária do Prefeitura Municipal de Itá;R$ 28.970,86;R$ 550.446,16;R$ 579.417,02
Em análise de enquadramento;1341.24.1912/2017;Qualificação Viária;BA;Mirangaba;Caixa Econômica Federal;Prefeitura Municipal de Mirangaba;Qualificação Viária do Prefeitura Municipal de Mirangaba;R$ 29.000,00;R$ 551.000,00;R$ 580.000,00
Não enquadrada pelo Agente Financeiro;163.24.1808/2017;Qualificação Viária;SP;Presidente Epitácio;Caixa Econômica Federal;Prefeitura Municipal de Presidente Epitácio;Qualificação Viária do Prefeitura Municipal de Presidente Epitácio;R$ 156.250,00;R$ 2.968.750,00;R$ 3.125.000,00
Não enquadrada pelo Agente Financeiro;1312.34.1512/2017;Transporte Não Motorizado;SC;Mondaí;Caixa Econômica Federal;Prefeitura Municipal de Mondaí;Transporte Não Motorizado do Prefeitura Municipal de Mondaí;R$ 100.000,00;R$ 1.900.000,00;R$ 2.000.000,00
Em análise de enquadramento;1378.3.2112/2017;Transporte Não Motorizado;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Transporte Não Motorizado do MUNICIPIO DE HORTOLANDIA;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1127.2.2111/2017;Qualificação Viária;RS;Colorado;Caixa Econômica Federal;Prefeitura Municipal de Colorado;Qualificação Viária do Prefeitura Municipal de Colorado;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Enquadrada pelo Agente Financeiro;1335.2.1812/2017;Qualificação Viária;BA;Jitaúna;Caixa Econômica Federal;Prefeitura Municipal de Jitaúna;Qualificação Viária do Prefeitura Municipal de Jitaúna;R$ 249.082,10;R$ 4.732.559,90;R$ 4.981.642,00
Não enquadrada pelo Agente Financeiro;560.2.1909/2017;Qualificação Viária;RS;Erval Grande;Caixa Econômica Federal;Prefeitura Municipal de Erval Grande;Qualificação Viária do Prefeitura Municipal de Erval Grande;R$ 64.823,48;R$ 1.231.646,07;R$ 1.296.469,55
Em análise de enquadramento;711.2.0210/2017;Qualificação Viária;SP;Itajobi;Caixa Econômica Federal;Prefeitura Municipal de Itajobi;Qualificação Viária do Prefeitura Municipal de Itajobi;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Devolvida ao Proponente;1542.2.1201/2018;Qualificação Viária;GO;Itaberaí;Caixa Econômica Federal;Prefeitura Municipal de Itaberaí;Qualificação Viária do Prefeitura Municipal de Itaberaí;R$ 656.389,50;R$ 12.471.400,40;R$ 13.127.789,90
Enquadrada pelo Agente Financeiro;1216.2.0412/2017;Qualificação Viária;PE;São José do Belmonte;Caixa Econômica Federal;Prefeitura Municipal de São José do Belmonte;Qualificação Viária do Prefeitura Municipal de São José do Belmonte;R$ 182.170,00;R$ 3.461.230,00;R$ 3.643.400,00
Pré-selecionada pelo Gestor da Aplicação;3442.24.0606/2018;Qualificação Viária;PI;Pio IX;Caixa Econômica Federal;Prefeitura Municipal de Pio IX;Qualificação Viária do Prefeitura Municipal de Pio IX;R$ 243.189,18;R$ 4.620.594,42;R$ 4.863.783,60
Em análise de enquadramento;3378.24.1404/2019;Qualificação Viária;RN;Macau;Caixa Econômica Federal;Prefeitura Municipal de Macau;Qualificação Viária do Prefeitura Municipal de Macau;R$ 760.000,00;R$ 14.440.000,00;R$ 15.200.000,00
Devolvida ao Proponente;1435.2.2812/2017;Qualificação Viária;BA;Jussari;Caixa Econômica Federal;Prefeitura Municipal de Jussari;Qualificação Viária do Prefeitura Municipal de Jussari;R$ 250.000,00;R$ 4.748.800,00;R$ 4.998.800,00
Pré-selecionada pelo Gestor da Aplicação;1358.2.2012/2017;Qualificação Viária;MT;Nova Santa Helena;Caixa Econômica Federal;Prefeitura Municipal de Nova Santa Helena;Qualificação Viária do Prefeitura Municipal de Nova Santa Helena;R$ 241.585,29;R$ 4.590.120,49;R$ 4.831.705,78
Não enquadrada pelo Agente Financeiro;91.24.1108/2017;Qualificação Viária;SP;Presidente Venceslau;Caixa Econômica Federal;Prefeitura Municipal de Presidente Venceslau;Qualificação Viária do Prefeitura Municipal de Presidente Venceslau;R$ 160.250,00;R$ 3.044.750,00;R$ 3.205.000,00
Em análise de enquadramento;890.2.2410/2017;Qualificação Viária;MG;Andradas;Caixa Econômica Federal;Prefeitura Municipal de Andradas;Qualificação Viária do Prefeitura Municipal de Andradas;R$ 120.364,28;R$ 2.286.921,23;R$ 2.407.285,51
Não enquadrada pelo Agente Financeiro;660.2.2709/2017;Qualificação Viária;PR;Lapa;Caixa Econômica Federal;Prefeitura Municipal de Lapa;Qualificação Viária do Prefeitura Municipal de Lapa;R$ 464.730,61;R$ 8.545.568,03;R$ 9.010.298,64
Em análise de enquadramento;897.24.2410/2017;Qualificação Viária;MG;Andradas;Caixa Econômica Federal;Prefeitura Municipal de Andradas;Qualificação Viária do Prefeitura Municipal de Andradas;R$ 634.414,00;R$ 12.053.866,00;R$ 12.688.280,00
Pré-selecionada pelo Gestor da Aplicação;927.24.2710/2017;Qualificação Viária;PR;Palmeira;Caixa Econômica Federal;Prefeitura Municipal de Palmeira;Qualificação Viária do Prefeitura Municipal de Palmeira;R$ 499.541,35;R$ 9.491.285,52;R$ 9.990.826,87
Em análise de enquadramento;905.2.2510/2017;Qualificação Viária;RS;São José do Sul;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de São José do Sul;Qualificação Viária do Prefeitura Municipal de São José do Sul;R$ 126.970,00;R$ 2.412.430,00;R$ 2.539.400,00
Em análise de enquadramento;918.2.2610/2017;Qualificação Viária;CE;Meruoca;Caixa Econômica Federal;Prefeitura Municipal de Meruoca;Qualificação Viária do Prefeitura Municipal de Meruoca;R$ 249.906,43;R$ 4.650.219,57;R$ 4.900.126,00
Pré-selecionada pelo Gestor da Aplicação;903.2.2510/2017;Qualificação Viária;RS;São Pedro da Serra;Caixa Econômica Federal;Prefeitura Municipal de São Pedro da Serra;Qualificação Viária do Prefeitura Municipal de São Pedro da Serra;R$ 87.843,58;R$ 1.669.027,86;R$ 1.756.871,44
Em análise de enquadramento;1308.2.1412/2017;Qualificação Viária;SC;Araranguá;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Araranguá;Qualificação Viária do Prefeitura Municipal de Araranguá;R$ 437.345,63;R$ 8.309.566,82;R$ 8.746.912,45
Em análise de enquadramento;925.2.2610/2017;Qualificação Viária;CE;Pacatuba;Caixa Econômica Federal;Prefeitura Municipal de Pacatuba;Qualificação Viária do Prefeitura Municipal de Pacatuba;R$ 447.243,25;R$ 8.497.621,74;R$ 8.944.864,99
